Agronegocio;Assistente Tecnico Comercial I;https //www.vagas.com.br/vagas/v2375060/assistente tecnico comercial i;Atividades Atender aos cooperados de acordo com as necessidades diarias sanando duvidas fornecendo esclarecimentos e instruindo tecnicamente afim de auxiliar os produtores Auxiliar no planejamento e suporte de vendas da equipe tecnica comercial (balcao) atendendo aos cooperados na filial ou pelo telefone auxiliando na escolha dos melhores produtos e servicos a serem aplicados em suas lavouras e plantacoes Controlar o estoque da filial conferindo o estoque fisico com o objetivo de evitar a falta de produtos e gerar a rotatividade ideal Efetuar lancamentos dos processos de compras registrando transacoes no sistema e gerando notas fiscais de faturamento a fim de efetivar as propostas de negociacoes realizadas ao longo do dia Realizar o acompanhamento das cotacoes analisando os resultados obtidos nas analises Realizar visitas tecnicas eventuais no campo conforme solicitacao e necessidades do cooperado a fim auxiliar os produtores e sanar duvidas.   Outros requisitos  Ensino Superior Completo em Engenharia Agronomica ou Tecnico Agricola/Agropecuaria  Conhecimento em Tecnicas de Negociacao  Vivencia comercial ou tecnica no ramo do agronegocio  Ter conhecimento sobre Gestao Comercial e Gestao de Pessoas  Disponibilidade para residir em Itamogi/MG.
Agronegocio;Orcamentista;https //www.vagas.com.br/vagas/v2369408/orcamentista;Executar as atividades relativas a elaboracao de propostas comerciais e tecnicas de pecas e componentes  assim como estudar e analisar editais a fim de orientar se na elaboracao das mesmas e no preparo da documentacao legal exigida.Principais atividades  Analisar de forma conclusiva documentacao tecnica para elaboracao da proposta Analisar tecnicamente os desenhos referente ao projeto  Realizar equalizar cotacoes comerciais de insumos e servicos relacionados ao processo orcamentario/projeto  Elaborar com apoio tecnico os quantitativos e custeio referente ao projeto de estimativa ou firme  Elaborar com apoio tecnico a proposta tecnica referente ao projeto de estimativa ou firme  Analisar estrategicamente e comercialmente os custos/valores encontrados  Auxiliar na elaboracao da proposta comercial referente ao projeto de firme ou estimativa  Responsavel pelo acompanhamento e resolucao de problemas relacionados ao processo orcamentario dos orcamentos/projetos efetivados  Executar outras atividades correlatas do mesmo nivel de dificuldade quando solicitado.Conhecimentos Especificos Desejavel especializacao em Orcamentos para Projetos IndustriaisConhecimento em AutoCad  Intermediario  Conhecimento Pacote Office  Intermediario Conhecimento em MS Project  Basico Ingles Interpretativo   Idiomas Ingles  Nivel IntermediarioOutros requisitos conhecimento em orcamentos para o mercado de agronegocio.
Agronegocio;Estagio Assistente Executivo Egon Zehnder;https //www.vagas.com.br/vagas/v2376872/estagio assistente executivo egon zehnder;Sobre a Egon Zehnder Toda pergunta de negocios requer uma resposta humana. Por isso somos uma consultoria global de gestao avaliacao e recrutamento de executivos uma empresa que trabalha para ajudar pessoas e empresas com os seus desafios de lideranca. Com mais de 525 consultores trabalhando em 63 escritorios em 37 paises a Egon Zehnder e uma das principais consultorias atualmente. O escritorio de Sao Paulo atende os principais grupos multinacionais e domesticos nas industrias de base e transformacao bens de consumo varejo midia servicos farmaceutica agronegocio e servicos financeiros. Acreditamos que lideres diversos e inclusivos criam um mundo melhor onde individuos e organizacoes nao apenas crescem mas tambem prosperam. Comece sua carreira com a gente. Inscreva se!Atividades  Apoiar e auxiliar Diretores e Vice PresidentesRelatorios Pre Requisitos  Graduacao Secretariado Letras Relacoes Internacionais Jornalismo e Administracao Formacao prevista a partir de Dezembro de 2023 Desejavel Conhecimento em Pacote Office Necessario Ingles Fluente Bolsa Auxilio e Beneficios  VR VT Bolsa auxilio compativel com o mercado Seguro de Vida Assistencia Medica Trabalho Hibrido (Presencial e Remoto) Quais sao as etapas do processo seletivo? Inscricoes e Testes Entrevista Universia Entrevistas Egon (RH e Gestores) Processo Admissional
Agronegocio;Gerente de Controle Agroindustrial;https //www.vagas.com.br/vagas/v2376163/gerente de controle agroindustrial;Principais Responsabilidades  Gestao das areas corporativas de custos controle e performance operacional controle de equipamentos e report/automacao de dados  Liderar agendas de resultados operacionais (performance e custos) como agente precursor de melhoria de resultados  Suporte ao processo de planejamento do negocio  Apoio no desenvolvimento do plano estrategico operacional  Lideranca do orcamento agroindustrial e suas respectivas revisoes  Suporte ao processo de S&OP. Liderar frentes de melhoria continua com foco em performance e custos  Realizacao de estudos de viabilidade economica para tomada de decisao  Desenvolvimento de processos e governancas de controle agroindustrial garantindo padronizacao  Gerar reports e PBIs agroindustriais  Prover informacoes a todos os orgaos externos e auditorias  Apoio a projetos estrategicos. Requisitos  Experiencia necessaria no setor sucroalcooleiro  Ensino Superior completo em Engenharias Gestao de Agronegocio Administracao Economia  Especializacao ou Pos graduacao concluida  Desejavel experiencia em  Planejamento operacional agricola e industrial controle agroindustrial lideranca de area de custos processos orcamentarios equipes e processos conhecimento em contabilidade. FP&A e/ou atividades intrinsecas aplicacao de tecnologias para modernizacao de fluxos e processos. Bons conhecimentos em Excel  Necessario Ingles nivel Intermediario e Tecnico  Disponibilidade para atuar em Orindiuva (SP).
Agronegocio;Coordenador Contabil;https //www.vagas.com.br/vagas/v2379092/coordenador contabil;Recompilar a informacao de documentos a serem apresentados dentro dos prazos fixados para o desenvolvimento das atividades auditaveis  Realizar a validacao demonstrativa dos registros contabeis assegurando a qualidade e confiabilidade da informacao a ser apresentada Preparar as demonstracoes financeiras da empresa de acordo com a Lei 11.638/07 e IFRS nas moedas real e dolar Analisar os numeros e auxiliar na tomada de decisao de ajuste e divulgacao  Interpretacao de normas tecnicas relativas a contabilidade  Desenhar e acompanhar os processos efetuados pela equipe contabil de modo que as informacoes tenham a qualidade desejada Dar suporte contabil e fiscal a todas as Unidades do grupo quanto aos processos logisticos  Analisar os indicadores financeiros e de rentabilidade do Grupo  Acompanhar e analisar os custos realizados da area de acordo com o orcado  Monitorar todas as atividades e atribuicoes em rotinas contabeis inclusive classificacao e fechamento  alem de legislacao e rotinas fiscais  Realizar demonstrativo contabil das principais contas em balanco nocoes de impostos conciliacao com livros fiscais Prestar suporte no preparo da documentacao e procedimentos para processo de Auditoria Interna e externa  Dar suporte contabil e fiscal a todas Filiais do grupo quanto aos processos logisticos  Responde pela construcao do balanco de todo o Grupo  Trabalhar em conformidade com as normas e procedimentos estabelecidos pela empresa.  Outros requisitos Pacote Office AvancadoConhecimento em IFRS 16 e LALUR Vivencia no agronegocio e indispensavel.
Agronegocio;Analista Contabil Senior;https //www.vagas.com.br/vagas/v2378490/analista contabil senior;Responsabilidades   Analisar  reconciliar fechar e reportar  as contas de  projetos em andamento e estoque junto  as areas responsaveis  Ativar os itens dos Ativo Fixo em linha com a politica  Planejar e executar inventario de Ativo Fixo junto as areas  Analisar os Custos nas contas contabeis e tomar as acoes necessarias de classificacao e correcao  Executar os inventarios fisicos da planta com analise  provisoes e cut off  Reportar e discutir as  variacoes dos inventarios juntamente com o Controller em linha com o procedimento  Analisar o saldo e as movimentacoes do Kardex Mover plano de acao para atingimento das metas operacionais juntamente com o Controller  Acompanhar as variacoes do real vs forecast / real vs o Budget  Participar na elaboracao do Budget anual e BPs juntamente com as demais areas envolvidas  Elaborar analisar aprovar o forecast juntamente com o Controller por negocio  Reportar as variacoes do custo real vs forecast  por negocio para a matriz  Assegurar o controle e pratica dos procedimentos da Controladoria na CIA  Fechar os relatorios de controle e apuracao das contas variaveis em linha com os KPIs da operacao  Analisar dos custos por produto/margin  Desenvolver outras atividades correlatas a criterio de seu superior imediato  Suportar auditoria externa e interna.  Requisitos   Superior e/ou pos graduacao Contabilidade Administracao ou Economia Pacote Office Expert Excel  SAP JDE Sistemas integrados    Ingles(nivel intermediario/avancado)  O cargo requer acima solida experiencia. Desejavel experiencia no segmento do Agronegocio.   Local de Trabalho  CAMPO GRANDE  MS.
Agronegocio;Estagio em Engenharia (Moinho Vera Cruz)  Santa Luzia (MG);https //www.vagas.com.br/vagas/v2343890/estagio em engenharia moinho vera cruz santa luzia mg;Sobre a Bunge Lider mundial em processamento de oleaginosas e uma das maiores produtoras e fornecedoras de oleos gorduras e proteinas vegetais ha mais de dois seculos a Bunge trabalha com o proposito de conectar agricultores e consumidores para fornecer alimentos ingredientes e combustiveis essenciais para o mundo. No Brasil contamos com mais de 100 unidades e somos uma das principais empresas de agronegocio e alimentos lider em Originacao de graos em processamento de soja e trigo e na contratacao de frete logistico. Programa de Estagio Alem da rotina e vivencia em suas areas de atuacao os estagiarios contratados pelo Programa tambem contarao com trilha de aprendizagem voltada as competencias de conhecimento de negocios (como gestao de projetos produtividade e inovacao por exemplo) e ao fortalecimento de habilidades comportamentais (como comunicacao nao violenta como lidar com emocoes vieses inconscientes postura e identidade profissional). Localizacao  Santa Luzia (MG)Industrial Operations  Pre requisitos  Cursando faculdade de nivel superior Engenharia de Producao Engenharia de Alimentos ou Engenharia Quimica  Formacao prevista apos julho/23  Disponibilidade para estagiar 6h/dia e 30h/semanais e com tempo habil para deslocamento entre localidade universidade  Disponibilidade para estagiar no periodo diurno  Preferencialmente residir na cidade onde a unidade esta localizada   Nao e exigida experiencia profissional ou conhecimento tecnico previo   Tambem nao e requisito do programa ter proficiencia ou conhecimento do idioma ingles sendo este um diferencial  Identificacao com os nossos valores        Atuamos como um so time  promovendo a inclusao a colaboracao e o respeito       Buscamos a excelencia  sendo ageis inovadores e eficientes       Fazemos o que e certo  agindo de forma segura etica e sustentavel. Atividades que serao realizadas  Area responsavel pela gestao dos processos de recebimento armazenagem e expedicao de produtos agricolas nas unidades armazenadoras da Bunge. da area  Participar das rotinas de gestao do processamento de produtos agricolas em unidade armazenadora envolvendo se nos programas de desenvolvimento e projetos de melhoria continua da area.                    Outros requisitos  Disponibilidade para residir em Santa Luzia (MG)  Importante checar com a universidade a disponibilidade para estagiar.
Agronegocio;Tecnico de Seguranca do Trabalho;https //www.vagas.com.br/vagas/v2354339/tecnico de seguranca do trabalho;DESCRICAO DAS ATIVIDADES   Realizar observacoes rotineiras de saude e seguranca inspecoes/auditorias do local analise de dados e planos de acao corretiva e orientacao do contratante.  As responsabilidades tambem incluem garantir que o canteiro de obras esteja em conformidade com as leis e regulamentos federais municipais/estaduais bem como as Diretrizes e Procedimentos de Seguranca da Construcao do cliente e Bureau Veritas Brasil e as politicas e procedimentos da EHS.  Planejar organizar executar e controlar atividades na area da construcao civil e/ou obras no agronegocio   Realizar investigacoes e levantamentos tecnicos liderar equipes gerenciamento de contratos com fornecedores e prestadores de servicos.Idiomas Ingles  Nivel BasicoOutros requisitos  COMPETENCIAS TECNICAS OBRIGATORIAS   Tecnico de Seguranca do Trabalho com formacao ensino medio tecnico em Higiene e Seguranca do Trabalho em instituicao oficial aprovada pelo MEC   Registro profissional no MTE conforme NR 27   Tecnico de Seguranca do Trabalho com capacitacao em Meio Ambiente com formacao nivel tecnico em Meio Ambiente em instituicao oficial aprovada pelo MEC   Possuir Habilitacao B   Treinamento OSHA 30h ou Treinamento equivalente   Necessaria solida experiencia em construcao (comprovada) em saude e seguranca   STS Safety Trained Supervisor  Comprovada habilidade em ministrar treinamentos   STSC Safety Trained Supervisor Construction  Comprovada habilidade em ministrar treinamentos na area da Construcao   CIT  Certified Instructional Trainer   Experiencia em empresas certificadas (ISO/SA/OSHAS)   Experiencia em obras de grande porte   Conhecimento e experiencia na elaboracao analise e validacao de documentacao legal de Seguranca e Saude Ocupacional e outras.   COMPETENCIAS COMPORTAMENTAIS   Colaborativo centrado proativo facilidade de comunicacao com tomada de decisao agucada boa postura e posicionamento para apresentacoes e reunioes comprometimento com o processo boa comunicacao verbal planejamento de tarefas atencao ao cumprimento de prazos postura em tomada de decisao interesse em conhecer o processo de forma geral parte de habilidade com gerenciamento de planilhas etc.
Agronegocio;Estagio na area de Armazenagem  Primavera do Leste (MT);https //www.vagas.com.br/vagas/v2376932/estagio na area de armazenagem primavera do leste mt;Sobre a BungeLider mundial em processamento de oleaginosas e uma das maiores produtoras e fornecedoras de oleos gorduras e proteinas vegetais ha mais de dois seculos a Bunge trabalha com o proposito de conectar agricultores e consumidores para fornecer alimentos ingredientes e combustiveis essenciais para o mundo. No Brasil contamos com mais de 100 unidades e somos uma das principais empresas de agronegocio e alimentos lider em originacao de graos em processamento de soja e trigo e na contratacao de frete logistico.Programa de EstagioAlem da rotina e vivencia em suas areas de atuacao os estagiarios contratados pelo Programa tambem contarao com trilha de aprendizagem voltada as competencias de conhecimento de negocios (como gestao de projetos produtividade e inovacao por exemplo) e ao fortalecimento de habilidades comportamentais (como comunicacao nao violenta como lidar com emocoes vieses inconscientes postura e identidade profissional).Localizacao Primavera do Leste MTOutros requisitos Pre requisitos  Cursando faculdade de nivel superior Engenharia Agricola e outras Agronomia ou areas afins...Formacao prevista apos julho/23 Disponibilidade para estagiar 6h/dia e 30h/semanais e com tempo habil para deslocamento entre localidade universidade Disponibilidade para estagiar no periodo diurno Preferencialmente residir na cidade onde a unidade esta localizada  Nao e exigida experiencia profissional ou conhecimento tecnico previo  Tambem nao e requisito do programa ter proficiencia ou conhecimento do idioma ingles sendo este um diferencial Identificacao com os nossos valores       Atuamos como um so time  promovendo a inclusao a colaboracao e o respeito      Buscamos a excelencia  sendo ageis inovadores e eficientes      Fazemos o que e certo  agindo de forma segura etica e sustentavel.Atividades que serao realizadas Prestar suporte as negociacoes e contratos comerciais atendendo clientes internos atualizando indicadores de desempenho e consolidando dados de mercado. da area Area responsavel por negociar as commodities que serao levadas para nossas fabricas moinhos portos e silos. E o coracao do nosso Negocio.Outros requisitos Disponibilidade para residir em Primavera do Leste (MT) Importante checar com a universidade a disponibilidade para estagiar.
Agronegocio;Coordenador de Tributos;https //www.vagas.com.br/vagas/v2380762/coordenador de tributos;1.	Apuracao e recolhimento de impostos diretos e indiretos. Garantir a observancia das normas tributarias nas rotinas de apuracao e recolhimento de impostos indiretos evitandos a aplicacao de encargos financeiros e penalidades assim como contingencias fiscais. Implementar proativamente procedimentos de adequacao da empresa as novidades da legislacao fiscal pertinente 2.	Regularidade Fiscal. Gerenciar a regularidade fiscal da empresa (matriz e filiais) atraves de controles adequados quanto ao status da empresa nos cadastros publicos (Federal Estados e Municipios). Gerenciar a obtencao manutencao e renovacao de inscricoes estaduais e municipais para garantia das operacoes de todos os estabelecimentos da Longping Brasil 3.	Acompanhamento das alteracoes da legislacao e planejamentos tributarios. Aplicar as devidas adequacoes as novas legislacoes tributarias aplicaveis as atividades da empresa bem como os resultados estudados pela area de planejamento tributario e aprovados pela administracao da empresa 4.	Sistemas Fiscais. Garantir o devido alinhamento com IT para propiciar a empresa o continuo desenvolvimento/customizacao/parametrizacao de sistemas relacionados as atividades que implicam em tributacao de forma a garantir o atendimento as normas tributarias implementar controles adequados e otimizar ao maximo as tarefas desempenhadas pelos seus subordinados 5.	Arquivos Fiscais. Manutencao dos arquivos e manuseio de documentos e livros pertinentes a atividade de sua area 6.	Obrigacoes acessorias transmitidas ao fisco no prazo legal com Inexistencia de retificacao de declaracoes por erro de elaboracao alem de suportar a elaboracao e apresentacao sob pouca supervisao de declaracoes e demais obrigacoes acessorias exigidas pela legislacao tributaria Federal Estadual e Municipais.Idiomas Ingles  Nivel AvancadoOutros requisitos 1.	Vivencia no agronegocio ou similar 2.	Experiencia no cargo de lideranca 3.	Conhecimento essencialmente no sistemas SAP e Mastersaf 4.	Conhecimento nos sistemas do Fisco Federal Estadual e Municipais 5.	Graduacao em Ciencias Contabeis Administracao ou Economia 6.	Ingles avancado 7.	Pacote office avancado.
Agronegocio;Analista de Sucesso do Cliente Sr;https //www.vagas.com.br/vagas/v2379377/analista de sucesso do cliente sr;O Analista de Customer Success e responsavel pelo Onboarding atendimento engajamento de clientes e parceiros da Plataforma Broto como foco na melhor experiencia e atingimento do sucesso dos mesmos. Identificar oportunidades negociais Planejar e coordenar a execucao das estrategias negociais definidas para sua Gerencia Executiva Comercial e de Customer Success Apoiar e orientar os especialistas e consultores comerciais a realizacao de negocios com vistas ao cumprimento do Acordo de Trabalho Acompanhar o cumprimento das metas estabelecidas e negocios realizados Efetuar a identificacao mensuracao avaliacao controle monitoramento mitigacao e reporte dos riscos a avaliacao de controles e a verificacao de conformidade em seus processos. Orientar as Gerencias Executivas Comerciais e seus colaboradores sobre o processo de encarteiramento de clientes Prestar apoio orientacao negocial e tecnica sobre produtos e servicos Elaborar materiais e apresentacoes as ofertas das solucoes Broto comercializadas pelas equipes Comerciais e de Customer Success da Plataforma. Coordenar a elaboracao do planejamento orcamento e do Acordo de Trabalho das Gerencia Executiva Comercial e de Customer Success Ativar os planos de prevencao e contingencia de sua Gerencia Executiva Acompanhar a organizacao o funcionamento e o processo produtivo de sua Gerencia Executiva Conduzir  os aspectos relativos aos recursos materiais tecnologicos e de pessoas de sua Gerencia Executiva  Apoiar a realizacao e acompanhar os resultados dos eventos  Prestar apoio administrativo a sua Gerencia Executiva Efetuar a identificacao mensuracao avaliacao controle monitoramento mitigacao e reporte dos riscos a avaliacao de controles e a verificacao de conformidade em seus processos Elaborar materiais e apresentacoes para demonstracao dos numeros da Gerencia Executiva Assessorar o Colegiado do Projeto Broto na analise dos negocios originados em suas Gerencias Executivas Comerciais e de Customer Success.Desejavel  Atuacao nas areas de customer success/ experience ou atendimento de clientes  em plataformas digitais e commerces e/ou marketplaces no atendimento aos publicos de B2B e B2C  no atendimento e relacionamento negocial com os publico pertencente ao agronegocio ( industrias cooperativas e produtores rurais)  em comunicacao e marketing digital ( inbound e outbound).Outros requisitos  Desejavel conhecimento em Magento e Google Analytics Desejavel conhecimento na Plataforma Genesis Desejavel conhecimento em SAP Desejavel conhecimento em Salesforce (Sales Cloud e Marketing Cloud) Desejavel conhecimento no nivel de usuario em CRMs
Agronegocio;Eletricista Manutencao II;https //www.vagas.com.br/vagas/v2367979/eletricista manutencao ii;Somos uma multinacional americana do segmento do agronegocio e ingredientes para alimentos. Atuamos em uma ampla rede de originacao de graos processamento e logistica mundiais conectando culturas e mercados em mais de 60 paises. Nosso portfolio tambem possui diversos produtos solucoes e know how para producao de alimentos racoes e bebidas. Se voce possui qualquer tipo de deficiencia voce e bem vindo. Somos um empregador igualitario e inclusivo e queremos propor um ambiente saudavel e adequado ao seu desenvolvimento. Local de atuacao   Santos/SP  sumaria  Atuar na manutencao eletrica corretiva e preditiva do terminal visando a otimizacao de utilizacao dos equipamentos e instalacoes.   Requisitos   Cursando Engenharia Eletrica \ Controle e Automacao \ Mecatronica  Desejavel Tecnico em eletrotecnica eletromecanica ou instrumentacao  Possuir curso NR 10 basico e SEP  Desejavel   curso profissionalizante de eletricista montador e comandos eletricos CLP e e Conversores (Inversores) de frequencia  Conhecimento basico na NBR 5410 NBR 5419 NR 10 NR 12 NR 33 NR 35 redes industriais (protocolo Ethernet\IP) conversores de frequencia (Allen Bradley\Rockwell) ferramentas de qualidade analise de causa e falha  Conhecimento intermediario em Motores Eletricos de Inducao leituras de diagrama e desenhos eletricos  Vivencias em atendimento de manutencao corretiva (planejada e emergencial) e manutencao preventiva.  Responsabilidades   Executar os servicos distribuidos pelo lider de eletrica conforme normas regulamentadoras cumprindo as atividades programadas para o dia de trabalho  Elaborar relatorios de inspecao e realiza imput de desvios encontrados no sistema direcionando as atividades para a resolucao das pendencias encontradas. Realizar manutencao em paineis eletricos subestacoes motores eletricos inversores soft start CLP e acionamento de controle de maquinas e equipamentos respeitando as normas de seguranca para desenergizacao de equipamentos e redes de alta tensao. Garantir o funcionamento e testes no sistema de gerador de energia bem como todo funcionamento sistema combate incendio ( botoeiras e lacos Protecwire) Analisa e compreende os relatorios de analise preditiva (termografia) para garantir a manutencao previa das instalacoes eletricas  Executa bloqueios eletricos para a realizacao das suas atividades e das demais areas mediante solicitacao garantindo o cumprimento das normas de seguranca do terminal  Atuar como multiplicador de conhecimento tecnico aos eletricistas I de forma a passar conhecimento tecnico dos equipamentos e sistemas de automacao  Zelar pela seguranca no ambiente de trabalho atraves da observacao das normas de seguranca e da participacao nas Reunioes Semanais de Seguranca visando a nao ocorrencia de incidentes / acidentes
Agronegocio;ANL Fiscal Sr;https //www.vagas.com.br/vagas/v2375191/anl fiscal sr;	Repassar todas as informacoes necessarias aos setores responsaveis pela emissao de documentos de saida mediante suporte tecnico orientacao fiscal e tributaria como tambem aos silos subordinados a sua responsabilidade para que executem as operacoes de acordo com a legislacao fiscal e normas da empresa 	Executar a conferencia dos relatorios mensais gerados pelos respectivos sistemas de processamento tais como Controle de Globais Posicao Acumulada de Saidas e Entradas assegurando a confiabilidade dos dados e a veracidade da escrituracao dos documentos fiscais atendendo ao cumprimento da legislacao fiscal em vigor 	Assegurar a entrega da DFC/GI  Declaracao Fisco Contabil e Guia de Informacao 	Assegurar a renovacao do pedido de licenca para a Policia Federal para compra de produtos quimicos atraves de entrega de documentos nas respectivas reparticoes 	Assegurar a regularizacao trimestralmente das Certidoes junto ao SICAF (INSS) para concorrencia publica apresentando Certidoes Federais Certidao estaduais Certidao da Divida Ativa da Uniao e Certidao da Prefeitura do Municipio 	Manter atualizados os documentos legais e fiscais da Unidade e todas as filiais do GO MG e DF como certidao negativa livros fiscais alvara de funcionamento e procuracoes cumprindo normas das legislacoes vigentes 	Acompanhar a compras para exportacao e gerar os memorandos de exportacao para as todas as filiais do estado do Goias Minas Gerais e Distrito Federal 	Orientar e assegurar a correta apuracao fiscal junto ao BSC 	Emitir requisicao de pagamentos para multas autos de infracao taxas estaduais federais ou municipais 	Acompanhar alteracoes nos regulamentos de ICMS e contribuicoes federais e municipais 	Acompanhar a caixa postal na conta ICMS Transparente de todas as filais do GO MG e DF bem como o atendimento das solicitacoes recebidas  	Acompanhamento diario da pauta fiscal bem como repassar a informacao as pessoas envolvidas  	Analisar e orientar sobre novas operacoes fiscais  	Acompanhamento e renovacao da autorizacao do Sinal de Radio Amador  Anatel Fabrica Luziania e Silos de Goias e Minas Gerais e Distrito Federal  	Acompanhamento das exportacoes das filiais para emissao de Notas Fiscais de Retorno de Exportacao 	Assegurar que as notificacoes federais estaduais e municipais sejam atendidas dentro dos prazos estipulados 	Garantir o cumprimento dos prazos para fechamento fiscal apuracao e recolhimento de impostos mediante a elaboracao do cronograma da area 	Acompanha a integracao das informacoes no sistema fiscal/contabil e livros fiscais solicitando posteriormente as devidas correcoes as unidades ou BSC 	Atendimento a fiscalizacoes Estaduais 	Inscricao/Baixa/Alteracoes Cadastrais/Filiais juntamente aos orgaos Estaduais e Municipais 	Controle de notas fiscais pendentes de ISSQN junto a prefeitura de Luziania e Silos da Regional e Moinho de Brasilia cobranca das pessoas responsaveis para regularizacao 	Acompanhamento e renovacao anual de todos os regimes especiais/Autorizacoes sendo eles  	Abertura de chamado para solicitacao de Informe de Rendimentos e SEFIP de fornecedores e autonomos 	Comprometer se com o atendimento da politica da companhia propor melhorias e manter sua area de trabalho organizada e em condicoes de higiene e limpeza. Mediante o cumprimento das normas de boas praticas de fabricacao planos de processo e inspecao. Monitoramento do PCC (ponto critico de controle) quando aplicavel 	Garantir a integridade fisica e seguranca dos funcionarios maquinas e equipamentos de sua area atraves da observacao e cumprimento das normas de seguranca no trabalho Idiomas Ingles  Nivel IntermediarioOutros requisitos 	Experiencia na area Fiscal e tributaria rotinas administrativas baseado em normas e procedimento 	Conhecimentos nas ferramentas Sap Excel e conhecimento no segmento do agronegocio/trigo.
Agronegocio;Comprador Jr / PL  Agronegocio;https //www.vagas.com.br/vagas/v2345397/comprador jr pl agronegocio;Atribuicoes  Aquisicao de MRO (Manutencao Reparos e Operacao) ferramentas material de construcao de escritorio e limpeza EPI TI mantimentos e cesta basica medicamentos cadastramento de itens e fornecedores colocacao de contratos e pedidos de compra no Sistema ERP dando apoio a outros compradores da equipe.  Requisitos    Desejavel Conhecimento ERP Totvs DATASUL  Conhecimento intermediario de EXCEL  Solida experiencia na funcao (desenvolvimento de fornecedores realizacao de cotacoes negociacao input de pedidos dentro das boas praticas)  Sera considerado um diferencial ter trabalhado no ramo de agricultura agroindustria alimenticio (supermercado ou cozinha industrial) logistica. Trabalho 100% presencial.
Agronegocio;Inspetor Regulador II  Agronegocios;https //www.vagas.com.br/vagas/v2375330/inspetor regulador ii agronegocios;Atividades Responder pela analise inspecao regulacao e liquidacao de sinistros dos ramos e produtos relacionados ao Agricola Cultivo realizando vistorias ou acompanhando prestadores de servicos analisando circunstancias causas danos e nexo causal bem como apurando e fixando valores referentes a indenizacoes dentro das alcadas estipuladas pela Cia buscando a minimizacao dos custos e agilizacao dos processos. Pre requisitos   Graduacao completa em Engenharia Agronoma   Experiencia no mercado de Seguros   Desejavel conhecimento em analise de Satelite e GPS   Disponibilidade para viagem   Carteira de Habilitacao  Categoria B. Oportunidade para a cidade de Sao Paulo.
Agronegocio;Engenheiro Residente de Obras de Agronegocios;https //www.vagas.com.br/vagas/v2359097/engenheiro residente de obras de agronegocios;O profissional sera responsavel por acompanhar fiscalizar e reportar o andamento das obras em plantas industriais de agronegocio assumindo as seguintes responsabilidades Coordenacao do Projeto  Dirigir e coordenar as tarefas diarias e periodicas do projeto. Assumir a assimilacao do risco diario e a execucao de todas as ferramentas de seguranca  Identificar recomendar e implementar as melhores praticas tecnicas com base no conhecimento e experiencia de campo de projeto de construcao requeridos. Defender e reforcar o processo de seguranca baseado em comportamento do cliente e Bureau Veritas e zero danos em todos fases ou atividades do projeto de construcao. Garantir que os projetos de construcao sejam planejados e executados de acordo com as leis e regulamentos nacionais e diretrizes do Cliente e Bureau Veritas. Trabalhar com empreiteiros e empresas de engenharia atraves de sua especializacao para preparar a coordenacao de atividades para logra os objetivos de seguranca/tempo/custo e qualidade. Planejamento do projeto  Alinhar com o Gerente de Projeto e o BPM os objetivos tecnicos do projeto usando amplo conhecimento de praticas e procedimentos de gerenciamento de projetos. Direcionar o desenvolvimento do escopo do projeto com base no amplo conhecimento das praticas de gerenciamento de projetos de construcao estrategias procedimentos e melhores praticas de eficacia de capital. Tenha um plano de execucao para construir monitorar e controlar o projeto. Trabalhe com o gerente Projeto para desenvolver o Plano de Projeto Integrado. Projeto de execucao  Dirigir a execucao de projetos de construcao de media complexidade em sua area de especialidade. Usar a estrutura de gerenciamento de projetos para atingir os objetivos tecnicos dos projetos com seguranca pontual orcamentario e operacional. Implementacao completa das medidas de seguranca. Aprovacao de cronogramas fisico financeiros. Controle de projeto  Medir e monitorar regularmente o progresso do projeto para identificar variacoes do plano e fazer ajustes correcoes necessarias. Conter e resolver problemas tecnicos dentro do projeto de construcao. Responsavel por fornecer ao Gerente de Projeto e BPM um status do projeto em construcao comunicando ativamente problemas/ameacas/status atual (seguranca horario mudanca etc.). Controlar possiveis alteracoes para cumprimento do Orcamento. Idiomas Ingles  Nivel IntermediarioOutros requisitos Qualificacoes Requeridas  Graduacao em Engenharia preferencialmente em Eletrica Eletromecanica ou Mecanica ou Civil. (Vagas nas cidades Roda Velha/BA Entroncamento/MT Parauna/GO Alto Garcas/MT e Vicentinopolis/GO)  Solida experiencia em construcoes relacionada a agronegocio dentro da cadeia de recebimento e armazenamento  Ingles intermediario/avancado  Capacidade de seguir os controles de projeto de melhores praticas para melhorar a rentabilidade e o desempenho do cronograma do projeto. Competencias Comportamentais  Capacidade de influenciar equipes multifuncionais  Alta auto iniciativa definindo metas proprias e execucao dinamismo elevado  Demonstrar altos niveis de organizacao comunicacao escrita e verbal  Motivacao e capacidade de executar projetos/tarefas em tempo habil  Forte capacidade de prioridade e comunicacao e gerenciamento de tempo. Classificacoes Preferenciais  Experiencia solida em gestao de projetos em ambientes industriais voltado ao agronegocio  Competencias demonstradas na supervisao e controlo de projetos de construcao. Capex / Agendamento / Seguranca/ area tecnica  Demonstrar compromisso e colaboracao continuos para o projeto de construcao  Disponibilidade para se deslocar em areas remotas quando necessario para construir um projeto.
